input_accession	downloaded_accession	assembly_name	taxid	organism_name	infraspecific_name	version_status	assembly_level	uniq_SCG_hits	perc_comp	perc_redund
GCF_000024845.1	GCF_000024845.1	ASM2484v1	518766	Rhodothermus marinus DSM 4252	strain=DSM 4252	latest	Complete Genome	14	93.33	0.00
GCF_000024885.1	GCF_000024885.1	ASM2488v1	525898	Sulfurospirillum deleyianum DSM 6946	strain=DSM 6946	latest	Complete Genome	14	93.33	0.00
GCF_000024925.1	GCF_000024925.1	ASM2492v1	446469	Sanguibacter keddieii DSM 10542	strain=DSM 10542	latest	Complete Genome	14	93.33	0.00
GCF_000024865.1	GCF_000024865.1	ASM2486v1	479432	Streptosporangium roseum DSM 43021	strain=DSM 43021	latest	Complete Genome	14	93.33	0.00
GCF_000024945.1	GCF_000024945.1	ASM2494v1	479436	Veillonella parvula DSM 2008	strain=DSM 2008	latest	Complete Genome	14	93.33	0.00
GCF_000024965.1	GCF_000024965.1	ASM2496v1	446471	Xylanimonas cellulosilytica DSM 15894	strain=DSM 15894	latest	Complete Genome	14	93.33	0.00
GCF_000024985.1	GCF_000024985.1	ASM2498v1	479434	Sphaerobacter thermophilus DSM 20745	strain=DSM 20745	latest	Complete Genome	14	93.33	0.00
GCF_000025005.1	GCF_000025005.1	ASM2500v1	525904	Thermobaculum terrenum ATCC BAA-798	strain=ATCC BAA-798	latest	Complete Genome	14	93.33	0.00
GCF_000025065.1	GCF_000025065.1	ASM2506v1	590409	Dickeya zeae Ech586	strain=Ech586	latest	Complete Genome	14	93.33	0.00
GCF_000025085.1	GCF_000025085.1	ASM2508v1	698737	Staphylococcus lugdunensis HKU09-01	strain=HKU09-01	latest	Complete Genome	14	93.33	0.00
GCF_000025185.1	GCF_000025185.1	ASM2518v1	530564	Pirellula staleyi DSM 6068	strain=DSM 6068	latest	Complete Genome	14	93.33	0.00
GCF_000025205.1	GCF_000025205.1	ASM2520v1	553190	Gardnerella vaginalis 409-05	strain=409-05	latest	Complete Genome	14	93.33	0.00
GCF_000025225.2	GCF_000025225.2	ASM2522v1	699246	Mageeibacillus indolicus UPII9-5	strain=UPII9-5	latest	Complete Genome	14	93.33	0.00
GCF_000025265.1	GCF_000025265.1	ASM2526v1	469383	Conexibacter woesei DSM 14684	strain=DSM 14684	latest	Complete Genome	14	93.33	6.67
GCF_000025285.1	GCF_000025285.1	ASM2528v1	572546	Archaeoglobus profundus DSM 5631	strain=DSM 5631	latest	Complete Genome	12	80.00	0.00
GCF_000025305.1	GCF_000025305.1	ASM2530v1	591001	Acidaminococcus fermentans DSM 20731	strain=DSM 20731	latest	Complete Genome	14	93.33	0.00
GCF_000025325.1	GCF_000025325.1	ASM2532v1	543526	Haloterrigena turkmenica DSM 5511	strain=DSM 5511	latest	Complete Genome	14	93.33	6.67
GCF_000025345.1	GCF_000025345.1	ASM2534v1	526225	Geodermatophilus obscurus DSM 43160	strain=DSM 43160	latest	Complete Genome	14	93.33	0.00
GCF_000025405.2	GCF_000025405.2	ASM2540v1	706191	Pantoea ananatis LMG 20103	strain=LMG 20103	latest	Complete Genome	14	93.33	0.00
GCF_000025485.1	GCF_000025485.1	ASM2548v1	572477	Allochromatium vinosum DSM 180	strain=DSM 180	latest	Complete Genome	14	93.33	0.00
GCF_000025505.1	GCF_000025505.1	ASM2550v1	589924	Ferroglobus placidus DSM 10642	strain=DSM 10642	latest	Complete Genome	14	93.33	0.00
GCF_000025605.1	GCF_000025605.1	ASM2560v1	638303	Thermocrinis albus DSM 14484	strain=DSM 14484	latest	Complete Genome	14	93.33	0.00
GCF_000025645.1	GCF_000025645.1	ASM2564v1	580331	Thermoanaerobacter italicus Ab9	strain=Ab9	latest	Complete Genome	14	93.33	0.00
GCF_000025625.1	GCF_000025625.1	ASM2562v1	547559	Natrialba magadii ATCC 43099	strain=ATCC 43099	latest	Complete Genome	14	93.33	6.67
GCF_000025665.1	GCF_000025665.1	ASM2566v1	439481	Aciduliprofundum boonei T469	strain=T469	latest	Complete Genome	14	93.33	0.00
GCF_000025685.1	GCF_000025685.1	ASM2568v1	309800	Haloferax volcanii DS2	strain=DS2	latest	Complete Genome	14	93.33	6.67
GCF_000025705.1	GCF_000025705.1	ASM2570v1	580332	Sideroxydans lithotrophicus ES-1	strain=ES-1	latest	Complete Genome	14	93.33	0.00
GCF_000025845.1	GCF_000025845.1	ASM2584v1	512564	Mycoplasma crocodyli MP145	strain=MP145	latest	Complete Genome	14	93.33	0.00
GCF_000025725.1	GCF_000025725.1	ASM2572v1	522772	Denitrovibrio acetiphilus DSM 12809	strain=DSM 12809	latest	Complete Genome	14	93.33	0.00
GCF_000025865.1	GCF_000025865.1	ASM2586v1	547558	Methanohalophilus mahii DSM 5219	strain=DSM 5219	latest	Complete Genome	14	93.33	0.00
GCF_000025885.1	GCF_000025885.1	ASM2588v1	572547	Aminobacterium colombiense DSM 12261	strain=DSM 12261	latest	Complete Genome	14	93.33	0.00
GCF_000025905.1	GCF_000025905.1	ASM2590v1	583355	Coraliomargarita akajimensis DSM 45221	strain=DSM 45221	latest	Complete Genome	14	93.33	0.00
GCF_000025925.1	GCF_000025925.1	ASM2592v1	264731	Prevotella ruminicola 23	strain=Bryant 23	latest	Complete Genome	14	93.33	0.00
GCF_000025945.1	GCF_000025945.1	ASM2594v1	177439	Desulfotalea psychrophila LSv54	strain=LSv54	latest	Complete Genome	12	80.00	0.00
GCF_000026005.1	GCF_000026005.1	ASM2600v1	254945	Ehrlichia ruminantium str. Welgevonden	strain=Welgevonden	latest	Complete Genome	14	93.33	0.00
GCF_000025965.1	GCF_000025965.1	ASM2596v1	76114	Aromatoleum aromaticum EbN1	strain=EbN1	latest	Complete Genome	14	93.33	0.00
GCF_000026045.1	GCF_000026045.1	ASM2604v1	348780	Natronomonas pharaonis DSM 2160	strain=Gabara	latest	Complete Genome	13	86.67	6.67
GCF_000026125.1	GCF_000026125.1	ASM2612v1	204773	Herminiimonas arsenicoxydans	NA	latest	Complete Genome	14	93.33	0.00
GCF_000026405.1	GCF_000026405.1	ASM2640v1	349519	Leuconostoc citreum KM20	strain=KM20	latest	Complete Genome	14	93.33	0.00
GCF_000026505.1	GCF_000026505.1	ASM2650v1	568703	Lactobacillus rhamnosus GG	strain=GG (ATCC 53103)	latest	Complete Genome	14	93.33	0.00
GCF_000026605.1	GCF_000026605.1	ASM2660v1	40041	Streptococcus equi subsp. zooepidemicus	strain=H70	latest	Complete Genome	14	93.33	0.00
GCF_000026945.1	GCF_000026945.1	ASM2694v1	573826	Candida dubliniensis CD36	strain=CD36	latest	Complete Genome	14	93.33	80.00
GCF_000027325.1	GCF_000027325.1	ASM2732v1	243273	Mycoplasma genitalium G37	strain=G-37	latest	Complete Genome	14	93.33	0.00
GCF_000027225.1	GCF_000027225.1	ASM2722v1	406818	Xenorhabdus bovienii SS-2004	strain=SS-2004	latest	Complete Genome	14	93.33	0.00
GCF_000046685.1	GCF_000046685.1	ASM4668v1	283165	Bartonella quintana str. Toulouse	strain=Toulouse	latest	Complete Genome	14	93.33	0.00
GCF_000046705.1	GCF_000046705.1	ASM4670v1	283166	Bartonella henselae str. Houston-1	strain=Houston-1	latest	Complete Genome	14	93.33	0.00
GCF_000055945.1	GCF_000055945.1	ASM5594v1	363253	Lawsonia intracellularis PHE/MN1-00	strain=PHE/MN1-00	latest	Complete Genome	14	93.33	0.00
GCF_000055785.1	GCF_000055785.1	ASM5578v1	290398	Chromohalobacter salexigens DSM 3043	strain=DSM 3043	latest	Complete Genome	14	93.33	0.00
GCF_000056065.1	GCF_000056065.1	ASM5606v1	390333	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002	strain=ATCC 11842	latest	Complete Genome	14	93.33	0.00
GCF_000058485.1	GCF_000058485.1	ASM5848v1	326424	Frankia alni ACN14a	strain=ACN14A	latest	Complete Genome	14	93.33	0.00
GCF_000060345.1	GCF_000060345.1	ASM6034v1	411154	Gramella forsetii KT0803	strain=KT0803	latest	Complete Genome	14	93.33	0.00
GCF_000063445.1	GCF_000063445.1	ASM6344v1	351160	Methanocella arvoryzae MRE50	strain=MRE50	latest	Complete Genome	14	93.33	0.00
GCF_000062885.1	GCF_000062885.1	ASM6288v1	405948	Saccharopolyspora erythraea NRRL 2338	strain=NRRL 2338	latest	Complete Genome	14	93.33	0.00
GCF_000063545.1	GCF_000063545.1	ASM6354v1	357244	Orientia tsutsugamushi str. Boryong	strain=Boryong	latest	Complete Genome	14	93.33	0.00
GCF_000063605.1	GCF_000063605.1	ASM6360v1	347257	Mycoplasma agalactiae PG2	strain=PG2	latest	Complete Genome	14	93.33	0.00
GCF_000067205.1	GCF_000067205.1	ASM6720v1	94624	Bordetella petrii	strain=DSM 12804	latest	Complete Genome	14	93.33	0.00
GCF_000067165.1	GCF_000067165.1	ASM6716v1	448385	Sorangium cellulosum So ce56	strain=So ce 56	latest	Complete Genome	14	93.33	6.67
GCF_000069225.1	GCF_000069225.1	ASM6922v1	31964	Clavibacter michiganensis subsp. sepedonicus	strain=ATCC 33113	latest	Complete Genome	14	93.33	0.00
GCF_000069945.1	GCF_000069945.1	ASM6994v1	504474	Corynebacterium urealyticum DSM 7109	strain=DSM 7109	latest	Complete Genome	14	93.33	0.00
GCF_000069965.1	GCF_000069965.1	ASM6996v1	529507	Proteus mirabilis HI4320	strain=HI4320	latest	Complete Genome	14	93.33	0.00
GCF_000070465.1	GCF_000070465.1	ASM7046v1	360910	Bordetella avium 197N	strain=197N	latest	Complete Genome	14	93.33	0.00
GCF_000085865.1	GCF_000085865.1	ASM8586v1	347256	Mycoplasma hominis ATCC 23114	strain=ATCC 23114	latest	Complete Genome	14	93.33	0.00
GCF_000072485.1	GCF_000072485.1	ASM7248v1	522373	Stenotrophomonas maltophilia K279a	strain=K279a	latest	Complete Genome	14	93.33	0.00
GCF_000090965.1	GCF_000090965.1	ASM9096v1	372461	Buchnera aphidicola BCc	strain=BCc	latest	Complete Genome	14	93.33	0.00
GCF_000091125.1	GCF_000091125.1	ASM9112v1	452662	Sphingobium japonicum UT26S	strain=UT26S	latest	Complete Genome	14	93.33	0.00
GCF_000091025.4	GCF_000091025.4	ASM9102v4	284811	Eremothecium gossypii ATCC 10895	strain=ATCC 10895	latest	Complete Genome	14	93.33	86.67
GCF_000090985.2	GCF_000090985.2	ASM9098v2	296587	Micromonas commoda	strain=RCC299	latest	Complete Genome	15	100.00	180.00
GCF_000091205.1	GCF_000091205.1	ASM9120v1	280699	Cyanidioschyzon merolae strain 10D	strain=10D	latest	Complete Genome	15	100.00	40.00
GCF_000091325.1	GCF_000091325.1	ASM9132v1	637905	Shewanella violacea DSS12	strain=DSS12	latest	Complete Genome	14	93.33	0.00
GCF_000091305.1	GCF_000091305.1	ASM9130v1	680198	Streptomyces scabiei 87.22	strain=87.22	latest	Complete Genome	14	93.33	0.00
GCF_000091465.1	GCF_000091465.1	ASM9146v1	575788	Vibrio tasmaniensis LGP32	strain=LGP32	latest	Complete Genome	13	86.67	0.00
GCF_000091565.1	GCF_000091565.1	ASM9156v1	665029	Erwinia amylovora CFBP1430	NA	latest	Complete Genome	14	93.33	0.00
GCF_000091665.1	GCF_000091665.1	ASM9166v1	243232	Methanocaldococcus jannaschii DSM 2661	strain=DSM 2661	latest	Complete Genome	14	93.33	0.00
GCF_000091785.1	GCF_000091785.1	ASM9178v1	661367	Legionella longbeachae NSW150	strain=NSW150	latest	Complete Genome	14	93.33	0.00
GCF_000091985.1	GCF_000091985.1	ASM9198v1	679897	Helicobacter mustelae 12198	strain=12198	latest	Complete Genome	14	93.33	0.00
GCF_000092045.1	GCF_000092045.1	ASM9204v1	347834	Rhizobium etli CFN 42	strain=CFN 42	latest	Complete Genome	14	93.33	0.00
GCF_000092065.1	GCF_000092065.1	ASM9206v1	436017	Ostreococcus lucimarinus CCE9901	strain=CCE9901	latest	Complete Genome	15	100.00	80.00
GCF_000092125.1	GCF_000092125.1	ASM9212v1	526227	Meiothermus silvanus DSM 9946	strain=DSM 9946	latest	Complete Genome	14	93.33	0.00
GCF_000092105.1	GCF_000092105.1	ASM9210v1	521674	Planctopirus limnophila DSM 3776	strain=DSM 3776	latest	Complete Genome	14	93.33	0.00
GCF_000092205.1	GCF_000092205.1	ASM9220v1	589865	Desulfurivibrio alkaliphilus AHT 2	strain=AHT 2	latest	Complete Genome	14	93.33	0.00
GCF_000092225.1	GCF_000092225.1	ASM9222v1	521096	Tsukamurella paurometabola DSM 20162	strain=DSM 20162	latest	Complete Genome	14	93.33	0.00
GCF_000092265.1	GCF_000092265.1	ASM9226v1	1236608	Moraxella catarrhalis BBH18	strain=BBH18	latest	Complete Genome	14	93.33	0.00
GCF_000092245.1	GCF_000092245.1	ASM9224v1	572480	Arcobacter nitrofigilis DSM 7299	strain=DSM 7299	latest	Complete Genome	14	93.33	0.00
GCF_000092285.1	GCF_000092285.1	ASM9228v1	509190	Caulobacter segnis ATCC 21756	strain=ATCC 21756	latest	Complete Genome	14	93.33	0.00
GCF_000092305.1	GCF_000092305.1	ASM9230v1	573063	Methanocaldococcus infernus ME	strain=ME	latest	Complete Genome	14	93.33	0.00
GCF_000092365.1	GCF_000092365.1	ASM9236v1	644284	Arcanobacterium haemolyticum DSM 20595	strain=DSM 20595	latest	Complete Genome	14	93.33	0.00
GCF_000092405.1	GCF_000092405.1	ASM9240v1	643648	Syntrophothermus lipocalidus DSM 12680	strain=DSM 12680	latest	Complete Genome	14	93.33	0.00
GCF_000092385.1	GCF_000092385.1	ASM9238v1	749414	Streptomyces bingchenggensis BCW-1	strain=BCW-1	latest	Complete Genome	14	93.33	0.00
GCF_000092425.1	GCF_000092425.1	ASM9242v1	649638	Truepera radiovictrix DSM 17093	strain=DSM 17093	latest	Complete Genome	14	93.33	0.00
GCF_000092505.1	GCF_000092505.1	ASM9250v1	762051	Leuconostoc kimchii IMSNU 11154	strain=IMSNU 11154	latest	Complete Genome	14	93.33	0.00
GCF_000092585.1	GCF_000092585.1	ASM9258v1	710127	Mycoplasma gallisepticum str. R(low)	strain=R	latest	Complete Genome	14	93.33	0.00
GCF_000092645.1	GCF_000092645.1	ASM9264v1	469371	Thermobispora bispora DSM 43833	strain=DSM 43833	latest	Complete Genome	14	93.33	0.00
GCF_000092785.1	GCF_000092785.1	ASM9278v1	716544	Waddlia chondrophila WSU 86-1044	strain=WSU 86-1044	latest	Complete Genome	14	93.33	0.00
GCF_000092825.1	GCF_000092825.1	ASM9282v1	640132	Segniliparus rotundus DSM 44985	strain=DSM 44985	latest	Complete Genome	14	93.33	0.00
GCF_000092845.1	GCF_000092845.1	ASM9284v1	526224	Brachyspira murdochii DSM 12563	strain=DSM 12563	latest	Complete Genome	14	93.33	0.00
GCF_000092865.1	GCF_000092865.1	ASM9286v1	446466	Cellulomonas flavigena DSM 20109	strain=DSM 20109	latest	Complete Genome	14	93.33	0.00
GCF_000092905.1	GCF_000092905.1	ASM9290v1	562970	Kyrpidia tusciae DSM 2912	strain=DSM 2912	latest	Complete Genome	14	93.33	0.00
GCF_000092925.1	GCF_000092925.1	ASM9292v1	639283	Starkeya novella DSM 506	strain=DSM 506	latest	Complete Genome	14	93.33	0.00
GCF_000092985.1	GCF_000092985.1	ASM9298v1	446468	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	strain=DSM 43111	latest	Complete Genome	14	93.33	0.00
GCF_000093025.1	GCF_000093025.1	ASM9302v1	666681	Methylotenera versatilis 301	strain=301	latest	Complete Genome	14	93.33	0.00
GCF_000093085.1	GCF_000093085.1	ASM9308v1	439292	[Bacillus] selenitireducens MLS10	strain=MLS10	latest	Complete Genome	14	93.33	0.00
GCF_000143085.1	GCF_000143085.1	ASM14308v1	105559	Nitrosococcus watsonii C-113	strain=C-113	latest	Complete Genome	14	93.33	0.00
GCF_000143145.1	GCF_000143145.1	ASM14314v1	582899	Hyphomicrobium denitrificans ATCC 51888	strain=ATCC 51888	latest	Complete Genome	14	93.33	0.00
GCF_000143165.1	GCF_000143165.1	ASM14316v1	552811	Dehalogenimonas lykanthroporepellens BL-DC-9	strain=BL-DC-9	latest	Complete Genome	14	93.33	0.00
GCF_000143845.1	GCF_000143845.1	ASM14384v1	633147	Olsenella uli DSM 7084	strain=DSM 7084	latest	Complete Genome	14	93.33	0.00
GCF_000143965.1	GCF_000143965.1	ASM14396v1	644282	Desulfarculus baarsii DSM 2075	strain=DSM 2075	latest	Complete Genome	14	93.33	0.00
GCF_000143985.1	GCF_000143985.1	ASM14398v1	573413	Sediminispirochaeta smaragdinae DSM 11293	strain=DSM 11293	latest	Complete Genome	14	93.33	0.00
GCF_000143535.2	GCF_000143535.2	ASM14353v4	332648	Botrytis cinerea B05.10	strain=B05.10	latest	Complete Genome	14	93.33	86.67
GCF_000144605.1	GCF_000144605.1	ASM14460v1	633149	Brevundimonas subvibrioides ATCC 15264	strain=ATCC 15264	latest	Complete Genome	14	93.33	0.00
GCF_000144625.1	GCF_000144625.1	ASM14462v1	610130	[Clostridium] saccharolyticum WM1	strain=WM1	latest	Complete Genome	14	93.33	0.00
GCF_000144645.1	GCF_000144645.1	ASM14464v1	555079	Thermosediminibacter oceani DSM 16646	strain=DSM 16646	latest	Complete Genome	14	93.33	0.00
GCF_000144675.1	GCF_000144675.1	ASM14467v1	681645	Corynebacterium pseudotuberculosis C231	strain=C231	latest	Complete Genome	14	93.33	0.00
GCF_000144695.1	GCF_000144695.1	ASM14469v1	574087	Acetohalobium arabaticum DSM 5501	strain=DSM 5501	latest	Complete Genome	14	93.33	0.00
GCF_000144915.1	GCF_000144915.1	ASM14491v1	666510	Acidilobus saccharovorans 345-15	strain=345-15	latest	Complete Genome	14	93.33	0.00
GCF_000145035.1	GCF_000145035.1	ASM14503v1	515622	Butyrivibrio proteoclasticus B316	strain=B316	latest	Complete Genome	14	93.33	0.00
GCF_000145235.1	GCF_000145235.1	ASM14523v1	644283	Micromonospora aurantiaca ATCC 27029	strain=ATCC 27029	latest	Complete Genome	14	93.33	0.00
GCF_000145255.1	GCF_000145255.1	ASM14525v1	395494	Gallionella capsiferriformans ES-2	strain=ES-2	latest	Complete Genome	14	93.33	0.00
GCF_000145275.1	GCF_000145275.1	ASM14527v1	573061	Clostridium cellulovorans 743B	strain=743B	latest	Complete Genome	14	93.33	0.00
GCF_000145295.1	GCF_000145295.1	ASM14529v1	79929	Methanothermobacter marburgensis str. Marburg	strain=Marburg	latest	Complete Genome	14	93.33	0.00
GCF_000146025.2	GCF_000146025.2	ASM14602v1	471821	uncultured Termite group 1 bacterium phylotype Rs-D17	NA	latest	Complete Genome	14	93.33	0.00
GCF_000145615.1	GCF_000145615.1	ASM14561v1	580327	Thermoanaerobacterium thermosaccharolyticum DSM 571	strain=DSM 571	latest	Complete Genome	14	93.33	0.00
GCF_000146185.1	GCF_000146185.1	ASM14618v1	515620	[Eubacterium] eligens ATCC 27750	strain=ATCC 27750	latest	Complete Genome	14	93.33	0.00
GCF_000146505.1	GCF_000146505.1	ASM14650v1	59374	Fibrobacter succinogenes subsp. succinogenes S85	strain=S85	latest	Complete Genome	14	93.33	0.00
GCF_000147355.1	GCF_000147355.1	ASM14735v1	563040	Sulfurimonas autotrophica DSM 16294	strain=DSM 16294	latest	Complete Genome	14	93.33	0.00
GCF_000147695.2	GCF_000147695.2	ASM14769v3	697303	Thermoanaerobacter wiegelii Rt8.B1	strain=Rt8.B1	latest	Complete Genome	14	93.33	0.00
GCF_000147715.2	GCF_000147715.2	ASM14771v3	660470	Mesotoga prima MesG1.Ag.4.2	strain=MesG1.Ag.4.2	latest	Complete Genome	14	93.33	0.00
GCF_000147835.2	GCF_000147835.2	ASM14783v3	690566	Sphingobium chlorophenolicum L-1	strain=L-1	latest	Complete Genome	14	93.33	0.00
GCF_000147875.1	GCF_000147875.1	ASM14787v1	679926	Methanolacinia petrolearia DSM 11571	NA	latest	Complete Genome	14	93.33	0.00
GCF_000148645.1	GCF_000148645.1	ASM14864v1	550540	Ferrimonas balearica DSM 9799	strain=DSM 9799	latest	Complete Genome	14	93.33	0.00
GCF_000151105.2	GCF_000151105.2	ASM15110v2	391623	Thermococcus barophilus MP	strain=MP	latest	Complete Genome	14	93.33	0.00
GCF_000152265.2	GCF_000152265.2	ASM15226v2	333146	Ferroplasma acidarmanus fer1	strain=fer1	latest	Complete Genome	13	86.67	0.00
GCF_000152825.2	GCF_000152825.2	ASM15282v2	314260	Parvularcula bermudensis HTCC2503	strain=HTCC2503	latest	Complete Genome	14	93.33	0.00
GCF_000153485.2	GCF_000153485.2	ASM15348v2	313595	Psychroflexus torquis ATCC 700755	strain=ATCC 700755	latest	Complete Genome	14	93.33	0.00
GCF_000154785.2	GCF_000154785.2	ASM15478v2	391595	Roseobacter litoralis Och 149	strain=Och 149	latest	Complete Genome	14	93.33	0.00
GCF_000155735.2	GCF_000155735.2	ASM15573v2	391616	Octadecabacter arcticus 238	strain=238	latest	Complete Genome	14	93.33	0.00
GCF_000157355.2	GCF_000157355.2	ASM15735v2	565655	Enterococcus casseliflavus EC20	strain=EC20	latest	Complete Genome	14	93.33	0.00
GCF_000157895.3	GCF_000157895.3	ASM15789v2	557599	Mycobacterium kansasii ATCC 12478	strain=ATCC 12478	latest	Complete Genome	14	93.33	0.00
GCF_000163895.2	GCF_000163895.2	ASM16389v2	546269	Filifactor alocis ATCC 35896	strain=ATCC 35896	latest	Complete Genome	14	93.33	0.00
GCF_000158275.2	GCF_000158275.2	ASM15827v2	457405	Fusobacterium nucleatum subsp. animalis 7_1	strain=7_1	latest	Complete Genome	13	86.67	0.00
GCF_000164675.2	GCF_000164675.2	ASM16467v2	760570	Streptococcus parasanguinis ATCC 15912	strain=ATCC 15912	latest	Complete Genome	14	93.33	0.00
GCF_000164695.2	GCF_000164695.2	ASM16469v2	762948	Rothia dentocariosa ATCC 17931	strain=ATCC 17931	latest	Complete Genome	14	93.33	0.00
GCF_000164865.1	GCF_000164865.1	ASM16486v1	701347	[Enterobacter] lignolyticus SCF1	strain=SCF1	latest	Complete Genome	14	93.33	0.00
GCF_000164985.3	GCF_000164985.3	ASM16498v2	886882	Paenibacillus polymyxa SC2	strain=SC2	latest	Complete Genome	14	93.33	0.00
GCF_000165465.1	GCF_000165465.1	ASM16546v1	572479	Halanaerobium praevalens DSM 2228	strain=DSM 2228	latest	Complete Genome	14	93.33	0.00
GCF_000165485.1	GCF_000165485.1	ASM16548v1	378806	Stigmatella aurantiaca DW4/3-1	strain=DW4/3-1	latest	Complete Genome	14	93.33	0.00
GCF_000165505.1	GCF_000165505.1	ASM16550v1	572544	Ilyobacter polytropus DSM 2926	strain=DSM 2926	latest	Complete Genome	14	93.33	0.00
GCF_000166055.1	GCF_000166055.1	ASM16605v1	648757	Rhodomicrobium vannielii ATCC 17100	strain=ATCC 17100	latest	Complete Genome	14	93.33	0.00
GCF_000165715.2	GCF_000165715.2	ASM16571v3	756272	Rubinisphaera brasiliensis DSM 5305	strain=DSM 5305	latest	Complete Genome	14	93.33	0.00
GCF_000166095.1	GCF_000166095.1	ASM16609v1	523846	Methanothermus fervidus DSM 2088	strain=DSM 2088	latest	Complete Genome	14	93.33	0.00
GCF_000166415.1	GCF_000166415.1	ASM16641v1	656519	Halanaerobium hydrogeniformans	NA	latest	Complete Genome	14	93.33	0.00
GCF_000166395.1	GCF_000166395.1	ASM16639v1	649349	Leadbetterella byssophila DSM 17132	strain=DSM 17132	latest	Complete Genome	14	93.33	0.00
GCF_000166135.1	GCF_000166135.1	ASM16613v1	298654	Frankia inefficax	strain=EuI1c	latest	Complete Genome	14	93.33	0.00
GCF_000172635.2	GCF_000172635.2	ASM17263v2	529120	Alteromonas macleodii ATCC 27126	strain=ATCC 27126	latest	Complete Genome	14	93.33	0.00
GCF_000172995.2	GCF_000172995.2	ASM17299v2	469382	Halogeometricum borinquense DSM 11551	strain=PR 3	latest	Complete Genome	14	93.33	6.67
GCF_000175255.2	GCF_000175255.2	ASM17525v2	555217	Zymomonas mobilis subsp. mobilis ATCC 10988	strain=ATCC 10988	latest	Complete Genome	14	93.33	0.00
GCF_000175215.2	GCF_000175215.2	ASM17521v2	573065	Asticcacaulis excentricus CB 48	strain=CB 48	latest	Complete Genome	14	93.33	0.00
GCF_000176915.2	GCF_000176915.2	ASM17691v2	643562	Pseudodesulfovibrio aespoeensis Aspo-2	strain=Aspo-2	latest	Complete Genome	14	93.33	0.00
GCF_000176855.2	GCF_000176855.2	ASM17685v2	643561	Acidovorax avenae subsp. avenae ATCC 19860	strain=ATCC 19860	latest	Complete Genome	14	93.33	0.00
GCF_000177235.2	GCF_000177235.2	ASM17723v2	649639	Bacillus cellulosilyticus DSM 2522	strain=DSM 2522	latest	Complete Genome	14	93.33	0.00
GCF_000175575.2	GCF_000175575.2	ASM17557v2	637389	Acidithiobacillus caldus ATCC 51756	strain=ATCC 51756	latest	Complete Genome	14	93.33	0.00
GCF_000177535.2	GCF_000177535.2	ASM17753v2	662755	Corynebacterium resistens DSM 45100	strain=DSM 45100	latest	Complete Genome	14	93.33	0.00
GCF_000177615.2	GCF_000177615.2	ASM17761v2	656024	Frankia symbiont of Datisca glomerata	strain=4085684	latest	Complete Genome	14	93.33	0.00
GCF_000177635.2	GCF_000177635.2	ASM17763v2	653733	Desulfurispirillum indicum S5	strain=S5	latest	Complete Genome	14	93.33	0.00
GCF_000178115.2	GCF_000178115.2	ASM17811v2	663278	Ethanoligenens harbinense YUAN-3	strain=YUAN-3	latest	Complete Genome	14	93.33	0.00
GCF_000178835.2	GCF_000178835.2	ASM17883v2	642492	Cellulosilyticum lentocellum DSM 5427	strain=DSM 5427	latest	Complete Genome	14	93.33	0.00
GCF_000178875.2	GCF_000178875.2	ASM17887v2	693973	Shewanella baltica OS678	strain=OS678	latest	Complete Genome	14	93.33	0.00
GCF_000178975.2	GCF_000178975.2	ASM17897v2	1198114	Granulicella tundricola MP5ACTX9	strain=MP5ACTX9	latest	Complete Genome	14	93.33	0.00
GCF_000178955.2	GCF_000178955.2	ASM17895v2	682795	Granulicella mallensis MP5ACTX8	strain=MP5ACTX8	latest	Complete Genome	14	93.33	0.00
GCF_000179035.2	GCF_000179035.2	ASM17903v2	768700	Mycoplasma suis str. Illinois	strain=Illinois	latest	Complete Genome	14	93.33	0.00
GCF_000179395.2	GCF_000179395.2	ASM17939v2	858619	Corynebacterium variabile DSM 44702	strain=DSM 44702	latest	Complete Genome	14	93.33	0.00
GCF_000179575.2	GCF_000179575.2	ASM17957v2	647113	Methanothermococcus okinawensis IH1	strain=IH1	latest	Complete Genome	14	93.33	0.00
GCF_000179635.2	GCF_000179635.2	ASM17963v2	697329	Ruminococcus albus 7 = DSM 20455	strain=7	latest	Complete Genome	14	93.33	0.00
GCF_000179915.2	GCF_000179915.2	ASM17991v2	401053	Terriglobus saanensis SP1PR4	strain=SP1PR4	latest	Complete Genome	14	93.33	0.00
GCF_000180175.2	GCF_000180175.2	ASM18017v2	891974	Plautia stali symbiont	NA	latest	Complete Genome	14	93.33	0.00
GCF_000182745.2	GCF_000182745.2	ASM18274v1	634177	Komagataeibacter medellinensis NBRC 3288	strain=NBRC 3288	latest	Complete Genome	14	93.33	0.00
GCF_000183135.1	GCF_000183135.1	ASM18313v1	694427	Paludibacter propionicigenes WB4	strain=WB4	latest	Complete Genome	14	93.33	0.00
GCF_000183385.1	GCF_000183385.1	ASM18338v1	289397	Mycoplasma bovis PG45	strain=PG45	latest	Complete Genome	14	93.33	0.00
GCF_000183405.1	GCF_000183405.1	ASM18340v1	768670	Calditerrivibrio nitroreducens DSM 19672	strain=DSM 19672	latest	Complete Genome	14	93.33	0.00
GCF_000183425.1	GCF_000183425.1	ASM18342v1	643867	Marivirga tractuosa DSM 4126	strain=DSM 4126	latest	Complete Genome	14	93.33	0.00
